Method,Precision,Recall,F1-score
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.20478339642813329,0.24216406612287625,0.21267827502065434
YAKE_keywords,0.12500000000000003,0.14533289407431288,0.1316645268969759
RAKE_keywords,0.07311318311318311,0.062074222074222085,0.06673487869140042
Pyate_combo_basic_keywords,0.084515281985271,0.14400574211787026,0.10508350678140783
Pyate_basic_keywords,0.084515281985271,0.14400574211787026,0.10508350678140783
Pyate_cvalues_keywords,0.084515281985271,0.14400574211787026,0.10508350678140783
Summa_keywords,0.22501727804359387,0.15244947230073086,0.17631167103116613
Keybert_keywords,0.24,0.06344057544286377,0.09966137566137565
Keybert_m_keywords,0.04,0.011014492753623189,0.017142857142857144
TFIDF_keywords,0.0699843691818674,0.8516890694693899,0.12879603880675777
LSA_keywords,0.0699843691818674,0.8516890694693899,0.12879603880675777
LDA_keywords,0.07999999999999999,0.04341301041529874,0.055621433754867035
Mistral7B_KeyBERT,0.5252236652236653,0.30576743114500554,0.3733418031244118
Mixtral7B_KeyBERT,0.5950355526826115,0.5411501118594939,0.5606300673277828
