Method,Precision,Recall,F1-score
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.3157894736842105,0.5,0.3870967741935484
YAKE_keywords,0.15,0.25,0.18749999999999997
RAKE_keywords,0.36363636363636365,0.3333333333333333,0.34782608695652173
Pyate_combo_basic_keywords,0.1504424778761062,1.4166666666666667,0.272
Pyate_basic_keywords,0.1504424778761062,1.4166666666666667,0.272
Pyate_cvalues_keywords,0.1504424778761062,1.4166666666666667,0.272
Summa_keywords,0.125,0.08333333333333333,0.1
Keybert_keywords,0.4,0.16666666666666666,0.23529411764705882
Keybert_m_keywords,0.0,0.0,0.0
TFIDF_keywords,0.1411764705882353,2.0,0.26373626373626374
LSA_keywords,0.1411764705882353,2.0,0.26373626373626374
LDA_keywords,0.2,0.16666666666666666,0.1818181818181818
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.3157894736842105,0.75,0.44444444444444436
YAKE_keywords,0.0,0.0,0.0
RAKE_keywords,0.2,0.375,0.26086956521739135
Pyate_combo_basic_keywords,0.025,0.125,0.04166666666666667
Pyate_basic_keywords,0.025,0.125,0.04166666666666667
Pyate_cvalues_keywords,0.025,0.125,0.04166666666666667
Summa_keywords,0.25,0.25,0.25
Keybert_keywords,0.2,0.125,0.15384615384615385
Keybert_m_keywords,0.0,0.0,0.0
TFIDF_keywords,0.053763440860215055,1.25,0.10309278350515463
LSA_keywords,0.053763440860215055,1.25,0.10309278350515463
LDA_keywords,0.2,0.25,0.22222222222222224
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.35714285714285715,0.3333333333333333,0.3448275862068965
YAKE_keywords,0.15,0.2,0.17142857142857143
RAKE_keywords,0.2727272727272727,0.2,0.23076923076923075
Pyate_combo_basic_keywords,0.27692307692307694,1.2,0.44999999999999996
Pyate_basic_keywords,0.27692307692307694,1.2,0.44999999999999996
Pyate_cvalues_keywords,0.27692307692307694,1.2,0.44999999999999996
Summa_keywords,0.36363636363636365,0.26666666666666666,0.30769230769230765
Keybert_keywords,0.2,0.06666666666666667,0.1
Keybert_m_keywords,0.2,0.06666666666666667,0.1
TFIDF_keywords,0.11842105263157894,1.2,0.2155688622754491
LSA_keywords,0.11842105263157894,1.2,0.2155688622754491
LDA_keywords,0.2,0.13333333333333333,0.16
Spacy_entities,1.0,0.06666666666666667,0.125
Spacy_noun_chunks,0.26666666666666666,0.26666666666666666,0.26666666666666666
YAKE_keywords,0.25,0.3333333333333333,0.28571428571428575
RAKE_keywords,0.1,0.06666666666666667,0.08
Pyate_combo_basic_keywords,0.14634146341463414,0.4,0.21428571428571425
Pyate_basic_keywords,0.14634146341463414,0.4,0.21428571428571425
Pyate_cvalues_keywords,0.14634146341463414,0.4,0.21428571428571425
Summa_keywords,0.5,0.26666666666666666,0.3478260869565218
Keybert_keywords,0.4,0.13333333333333333,0.2
Keybert_m_keywords,0.2,0.06666666666666667,0.1
TFIDF_keywords,0.13013698630136986,1.2666666666666666,0.23602484472049687
LSA_keywords,0.13013698630136986,1.2666666666666666,0.23602484472049687
LDA_keywords,0.1,0.06666666666666667,0.08
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.3333333333333333,0.2727272727272727,0.3
YAKE_keywords,0.15,0.13636363636363635,0.14285714285714282
RAKE_keywords,0.3333333333333333,0.22727272727272727,0.27027027027027023
Pyate_combo_basic_keywords,0.11764705882352941,0.45454545454545453,0.1869158878504673
Pyate_basic_keywords,0.11764705882352941,0.45454545454545453,0.1869158878504673
Pyate_cvalues_keywords,0.11764705882352941,0.45454545454545453,0.1869158878504673
Summa_keywords,0.2222222222222222,0.09090909090909091,0.1290322580645161
Keybert_keywords,0.8,0.18181818181818182,0.2962962962962963
Keybert_m_keywords,0.0,0.0,0.0
TFIDF_keywords,0.18932038834951456,1.7727272727272727,0.34210526315789475
LSA_keywords,0.18932038834951456,1.7727272727272727,0.34210526315789475
LDA_keywords,0.2,0.09090909090909091,0.12500000000000003
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.5789473684210527,0.4583333333333333,0.5116279069767442
YAKE_keywords,0.15,0.125,0.13636363636363635
RAKE_keywords,0.09090909090909091,0.041666666666666664,0.05714285714285715
Pyate_combo_basic_keywords,0.1574074074074074,0.7083333333333334,0.25757575757575757
Pyate_basic_keywords,0.1574074074074074,0.7083333333333334,0.25757575757575757
Pyate_cvalues_keywords,0.1574074074074074,0.7083333333333334,0.25757575757575757
Summa_keywords,0.4444444444444444,0.16666666666666666,0.24242424242424243
Keybert_keywords,0.2,0.041666666666666664,0.06896551724137931
Keybert_m_keywords,0.2,0.041666666666666664,0.06896551724137931
TFIDF_keywords,0.14761904761904762,1.2916666666666667,0.26495726495726496
LSA_keywords,0.14761904761904762,1.2916666666666667,0.26495726495726496
LDA_keywords,0.0,0.0,0.0
Spacy_entities,1.0,0.1111111111111111,0.19999999999999998
Spacy_noun_chunks,0.36666666666666664,0.4074074074074074,0.38596491228070173
YAKE_keywords,0.6,0.4444444444444444,0.5106382978723405
RAKE_keywords,0.37037037037037035,0.37037037037037035,0.37037037037037035
Pyate_combo_basic_keywords,0.37662337662337664,1.0740740740740742,0.5576923076923077
Pyate_basic_keywords,0.37662337662337664,1.0740740740740742,0.5576923076923077
Pyate_cvalues_keywords,0.37662337662337664,1.0740740740740742,0.5576923076923077
Summa_keywords,0.3157894736842105,0.2222222222222222,0.2608695652173913
Keybert_keywords,0.2,0.037037037037037035,0.0625
Keybert_m_keywords,0.4,0.07407407407407407,0.125
TFIDF_keywords,0.17964071856287425,2.2222222222222223,0.33240997229916897
LSA_keywords,0.17964071856287425,2.2222222222222223,0.33240997229916897
LDA_keywords,0.6,0.2222222222222222,0.32432432432432434
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.21739130434782608,0.2631578947368421,0.23809523809523808
YAKE_keywords,0.15,0.15789473684210525,0.15384615384615385
RAKE_keywords,0.05555555555555555,0.05263157894736842,0.05405405405405406
Pyate_combo_basic_keywords,0.3142857142857143,1.1578947368421053,0.4943820224719101
Pyate_basic_keywords,0.3142857142857143,1.1578947368421053,0.4943820224719101
Pyate_cvalues_keywords,0.3142857142857143,1.1578947368421053,0.4943820224719101
Summa_keywords,0.3333333333333333,0.21052631578947367,0.2580645161290323
Keybert_keywords,1.0,0.2631578947368421,0.4166666666666667
Keybert_m_keywords,0.4,0.10526315789473684,0.16666666666666666
TFIDF_keywords,0.13777777777777778,1.631578947368421,0.2540983606557377
LSA_keywords,0.13777777777777778,1.631578947368421,0.2540983606557377
LDA_keywords,0.5,0.2631578947368421,0.3448275862068966
Spacy_entities,0.2857142857142857,0.1,0.14814814814814817
Spacy_noun_chunks,0.16129032258064516,0.25,0.19607843137254902
YAKE_keywords,0.05,0.05,0.05000000000000001
RAKE_keywords,0.0,0.0,0.0
Pyate_combo_basic_keywords,0.1322314049586777,0.8,0.2269503546099291
Pyate_basic_keywords,0.1322314049586777,0.8,0.2269503546099291
Pyate_cvalues_keywords,0.1322314049586777,0.8,0.2269503546099291
Summa_keywords,0.36363636363636365,0.4,0.380952380952381
Keybert_keywords,0.6,0.15,0.24
Keybert_m_keywords,0.0,0.0,0.0
TFIDF_keywords,0.09880239520958084,1.65,0.1864406779661017
LSA_keywords,0.09880239520958084,1.65,0.1864406779661017
LDA_keywords,0.2,0.1,0.13333333333333333
Spacy_entities,0.0,0.0,0.0
Spacy_noun_chunks,0.2692307692307692,0.5,0.35000000000000003
YAKE_keywords,0.1,0.14285714285714285,0.11764705882352941
RAKE_keywords,0.15384615384615385,0.14285714285714285,0.14814814814814817
Pyate_combo_basic_keywords,0.35384615384615387,1.6428571428571428,0.5822784810126582
Pyate_basic_keywords,0.35384615384615387,1.6428571428571428,0.5822784810126582
Pyate_cvalues_keywords,0.35384615384615387,1.6428571428571428,0.5822784810126582
Summa_keywords,0.2,0.14285714285714285,0.16666666666666666
Keybert_keywords,0.4,0.14285714285714285,0.21052631578947364
Keybert_m_keywords,0.0,0.0,0.0
TFIDF_keywords,0.15217391304347827,2.0,0.2828282828282828
LSA_keywords,0.15217391304347827,2.0,0.2828282828282828
LDA_keywords,0.2,0.14285714285714285,0.16666666666666666
