title,abstract,keywords
functionalized gold nanoparticles and their biomedical applications,"metal nanoparticles are being extensively used in various biomedical applications due to their small size to volume ratio and extensive thermal stability. gold nanoparticles (gnps) are an obvious choice due to their amenability of synthesis and functionalization, less toxicity and ease of detection. the present review focuses on various methods of functionalization of gnps and their applications in biomedical research. functionalization facilitates targeted delivery of these nanoparticles to various cell types, bioimaging, gene delivery, drug delivery and other therapeutic and diagnostic applications. this review is an amalgamation of recent advances in the field of functionalization of gold nanoparticles and their potential applications in the field of medicine and biology.","metal nanoparticles,biomedical applications,volume ratio,thermal stability,gold nanoparticles (gnps),cell types,bioimaging,gene delivery,drug delivery,therapeutic applications,diagnostic applications,amalgamation"
recent advances in nanostructured thermoelectric half-heusler compounds,"half-heusler (hh) alloys have attracted considerable interest as promising thermoelectric (te) materials in the temperature range around 700 k and above, which is close to the temperature range of most industrial waste heat sources. the past few years have seen nanostructuing play an important role in significantly enhancing the te performance of several hh alloys. in this article, we briefly review the recent progress and advances in these hh nanocomposites. we begin by presenting the structure of hh alloys and the different strategies that have been utilized for improving the te properties of hh alloys. next, we review the details of hh nanocomposites as obtained by different techniques. finally, the review closes by highlighting several promising strategies for further research directions in these very promising te materials.","half-heusler (hh) alloys,thermoelectric (te) materials,industrial waste heat sources,nanostructuing,hh alloys,hh nanocomposites,structure,hh nanocomposites"
polyhedral oligomeric silsesquioxane (poss)-containing polymer nanocomposites,"hybrid materials with superior structural and functional properties can be obtained by incorporating nanofillers into polymer matrices. polyhedral oligomeric silsesquioxane (poss) nanoparticles have attracted much attention recently due to their nanometer size, the ease of which these particles can be incorporated into polymeric materials and the unique capability to reinforce polymers. we review here the state of poss-containing polymer nanocomposites. we discuss the influence of the incorporation of poss into polymer matrices via chemical cross-linking or physical blending on the structure of nanocomposites, as affected by surface functional groups, and the poss concentration.","hybrid materials,structural properties,functional properties,nanofillers,polymer matrices,polyhedral oligomeric silsesquioxane (poss) nanoparticles,polymeric materials,reinforce polymers,poss-containing polymer nanocomposites,matrices,chemical cross-linking,physical blending,nanocomposites,surface functional groups,poss concentration"
conducting polyaniline nanowire and its applications in chemiresistive sensing,"one dimensional polyaniline nanowire is an electrically conducting polymer that can be used as an active layer for sensors whose conductivity change can be used to detect chemical or biological species. in this review, the basic properties of polyaniline nanowires including chemical structures, redox chemistry, and method of synthesis are discussed. a comprehensive literature survey on chemiresistive/conductometric sensors based on polyaniline nanowires is presented and recent developments in polyaniline nanowire-based sensors are summarized. finally, the current limitations and the future prospect of polyaniline nanowires are discussed.","one dimensional polyaniline nanowire,electrically conducting polymer,active layer,sensors,conductivity,chemicalspecies,biological species,polyaniline nanowires,chemical structures,redox chemistry,synthesis,chemiresistive sensors,conductometric sensors,polyaniline nanowires,polyaniline nanowire-based sensors"
current trends in sensors based on conducting polymer nanomaterials,"conducting polymers represent an important class of functional organic materials for next-generation electronic and optical devices. advances in nanotechnology allow for the fabrication of various conducting polymer nanomaterials through synthesis methods such as solid-phase template synthesis, molecular template synthesis, and template-free synthesis. nanostructured conducting polymers featuring high surface area, small dimensions, and unique physical properties have been widely used to build various sensor devices. many remarkable examples have been reported over the past decade. the enhanced sensitivity of conducting polymer nanomaterials toward various chemical/biological species and external stimuli has made them ideal candidates for incorporation into the design of sensors. however, the selectivity and stability still leave room for improvement.","conducting polymers,functional organic materials,electronic devices,optical devices,nanotechnology,conducting polymer nanomaterials,synthesis methods,solid-phase template synthesis, molecular template synthesis,template-free synthesis,nanostructured conducting polymers,surface area,small dimensions,physical properties,sensor devices,sensitivity,chemical species,biological species,external stimuli,sensors,selectivity,stability"
recent advances in the application of magnetic nanoparticles as a support for homogeneous catalysts,"magnetic nanoparticles are a highly valuable substrate for the attachment of homogeneous inorganic and organic containing catalysts. this review deals with the very recent main advances in the development of various nanocatalytic systems by the immobilisation of homogeneous catalysts onto magnetic nanoparticles. we discuss magnetic core shell nanostructures (e.g., silica or polymer coated magnetic nanoparticles) as substrates for catalyst immobilisation. then we consider magnetic nanoparticles bound to inorganic catalytic mesoporous structures as well as metal organic frameworks. binding of catalytically active small organic molecules and polymers are also reviewed. after that we briefly deliberate on the binding of enzymes to magnetic nanocomposites and the corresponding enzymatic catalysis. finally, we draw conclusions and present a future outlook for the further development of new catalytic systems which are immobilised onto magnetic nanoparticles.","magnetic nanoparticles,substrate,homogeneous inorganic,organic containing catalysts,nanocatalytic systems,immobilisation,homogeneous catalysts,magnetic nanoparticles,magnetic core shell nanostructures,silica coated magnetic nanoparticles,polymer coated magnetic nanoparticles,substrates,catalyst immobilisation,magnetic nanoparticles bound,inorganic catalytic mesoporous structures,metal organic frameworks,catalytically active small organic molecules,polymers,binding,enzymes,magnetic nanocomposites,enzymatic catalysis,catalytic systems,immobilised"
work function engineering of graphene,"graphene is a two dimensional one atom thick allotrope of carbon that displays unusual crystal structure, electronic characteristics, charge transport behavior, optical clarity, physical & mechanical properties, thermal conductivity and much more that is yet to be discovered. consequently, it has generated unprecedented excitement in the scientific community; and is of great interest to wide ranging industries including semiconductor, optoelectronics and printed electronics. graphene is considered to be a next-generation conducting material with a remarkable band-gap structure, and has the potential to replace traditional electrode materials in optoelectronic devices. it has also been identified as one of the most promising materials for post-silicon electronics. for many such applications, modulation of the electrical and optical properties, together with tuning the band gap and the resulting work function of zero band gap graphene are critical in achieving the desired properties and outcome. in understanding the importance, a number of strategies including various functionalization, doping and hybridization have recently been identified and explored to successfully alter the work function of graphene. in this review we primarily highlight the different ways of surface modification, which have been used to specifically modify the band gap of graphene and its work function. this article focuses on the most recent perspectives, current trends and gives some indication of future challenges and possibilities.","graphene,two dimensional one atom thick allotrope,allotrope,carbon,crystal structure,electronic characteristics,charge transport behavior,optical clarity,physical properties,mechanical properties,thermal conductivity,semiconductor,optoelectronics,printed electronics,conducting material,band-gap structure,electrode materials,optoelectronic devices,post-silicon electronics,modulation,electrical properties,optical properties,zero band gap graphene,doping,hybridization,work function,surface modification"
magnetic properties of magnetic nanoparticles for efficient hyperthermia,"localized magnetic hyperthermia using magnetic nanoparticles (mnps) under the application of small magnetic fields is a promising tool for treating small or deep-seated tumors. for this method to be applicable, the amount of mnps used should be minimized. hence, it is essential to enhance the power dissipation or heating efficiency of mnps. several factors influence the heating efficiency of mnps, such as the amplitude and frequency of the applied magnetic field and the structural and magnetic properties of mnps. we discuss some of the physics principles for effective heating of mnps focusing on the role of surface anisotropy, interface exchange anisotropy and dipolar interactions. basic magnetic properties of mnps such as their superparamagnetic behavior, are briefly reviewed. the influence of temperature on anisotropy and magnetization of mnps is discussed. recent development in self-regulated hyperthermia is briefly discussed. some physical and practical limitations of using mnps in magnetic hyperthermia are also briefly discussed.","localized magnetic hyperthermia,magnetic nanoparticles (mnps),magnetic fields,power dissipation,heating efficiency,amplitude,frequency,magnetic fiel,structural properties,magnetic properties,surface anisotropy,interface exchange anisotropy,dipolar interactions,superparamagnetic,temperature,anisotropy,magnetization,self-regulated hyperthermia,magnetic hyperthermia"
structural ceramic nanocomposites: a review of properties and powders’ synthesis methods,"ceramic nanocomposites are attracting growing interest, thanks to new processing methods enabling these materials to go from the research laboratory scale to the commercial level. today, many different types of nanocomposite structures are proposed in the literature; however, to fully exploit their exceptional properties, a deep understanding of the materials’ behavior across length scales is necessary. in fact, knowing how the nanoscale structure influences the bulk properties enables the design of increasingly performing composite materials. a further key point is the ability of tailoring the desired nanostructured features in the sintered composites, a challenging issue requiring a careful control of all stages of manufacturing, from powder synthesis to sintering. this review is divided into four parts. in the first, classification and general issues of nanostructured ceramics are reported. the second provides basic structure–property relations, highlighting the grain-size dependence of the materials properties. the third describes the role of nanocrystalline second-phases on the mechanical properties of ordinary grain sized ceramics. finally, the fourth part revises the mainly used synthesis routes to produce nanocomposite ceramic powders, underlining when possible the critical role of the synthesis method on the control of microstructure and properties of the sintered ceramics.","ceramic nanocomposites,nanocomposite structures,nanoscale structure,bulk properties,performing composite materials,nanostructured features,sintered composites,powder synthesis,sintering,nanostructured ceramics,structure,property,grain-size,materials properties,nanocrystalline second-phases,mechanical properties,ordinary grain sized ceramics,nanocomposite ceramic powders,microstructure,sintered ceramics"
antitumor activities of metal oxide nanoparticles,"nanoparticles have received much attention recently due to their use in cancer therapy. studies have shown that different metal oxide nanoparticles induce cytotoxicity in cancer cells, but not in normal cells. in some cases, such anticancer activity has been demonstrated to hold for the nanoparticle alone or in combination with different therapies, such as photocatalytic therapy or some anticancer drugs. zinc oxide nanoparticles have been shown to have this activity alone or when loaded with an anticancer drug, such as doxorubicin. other nanoparticles that show cytotoxic effects on cancer cells include cobalt oxide, iron oxide and copper oxide. the antitumor mechanism could work through the generation of reactive oxygen species or apoptosis and necrosis, among other possibilities. here, we review the most significant antitumor results obtained with different metal oxide nanoparticles.","nanoparticles,metal oxide nanoparticles,cytotoxicity,normal cells,nanoparticle,zinc oxide nanoparticles,cytotoxic effects,cobalt oxide,iron oxide,copper oxide,reactive oxygen species,apoptosis,necrosis,metal oxide nanoparticles"
